County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Cattaraugus,Olean City PD,2017,12,412,31,1,5,4,21,381,27,351,3,Non-New York City
Cattaraugus,Salamanca City PD,2017,12,102,9,0,0,1,8,93,16,72,5,Non-New York City
Cayuga,Auburn City PD,2017,12,898,146,0,33,19,94,752,104,634,14,Non-New York City
Cayuga,Cayuga County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cayuga,Cayuga County Sheriff,2017,12,203,40,0,15,1,24,163,39,121,3,Non-New York City
Cayuga,Cayuga County State Police,2017,12,207,50,1,28,1,20,157,33,116,8,Non-New York City
Cayuga,County Total,2017,,1328,236,1,76,21,138,1092,176,891,25,Non-New York City
Cayuga,Moravia Vg PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Cayuga,Port Byron Vg PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cayuga,Weedsport Vg PD,2017,12,15,0,0,0,0,0,15,0,15,0,Non-New York City
Chautauqua,Chautauqua County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Chautauqua,Chautauqua County Sheriff,2017,12,505,50,1,15,3,31,455,135,304,16,Non-New York City
Chautauqua,Chautauqua County State Police,2017,12,195,26,0,15,0,11,169,38,123,8,Non-New York City
Chautauqua,County Total,2017,,2778,346,3,65,57,221,2432,511,1839,82,Non-New York City
Chautauqua,Dunkirk City PD,2017,12,239,43,1,1,13,28,196,40,151,5,Non-New York City
Chautauqua,Ellicott Town PD,2017,12,194,9,0,1,3,5,185,20,162,3,Non-New York City
Chautauqua,Fredonia Vg PD,2017,12,170,13,0,3,6,4,157,20,136,1,Non-New York City
Chautauqua,Jamestown City PD,2017,12,1075,196,1,26,31,138,879,226,610,43,Non-New York City
Chautauqua,Lakewood-Busti PD,2017,12,337,3,0,1,1,1,334,23,305,6,Non-New York City
Chautauqua,SUNY Police - Fredonia,2017,12,49,3,0,3,0,0,46,6,40,0,Non-New York City
Chautauqua,Westfield Vg PD,2017,12,13,3,0,0,0,3,10,3,7,0,Non-New York City
Chemung,Chemung County Sheriff,2017,12,274,9,2,0,1,6,265,32,228,5,Non-New York City
Chemung,Chemung County State Police,2017,12,246,50,0,25,1,24,196,19,171,6,Non-New York City
Chemung,County Total,2017,,1567,143,4,28,32,79,1424,185,1205,34,Non-New York City
Chemung,Elmira City PD,2017,12,943,80,2,2,29,47,863,126,717,20,Non-New York City
Chemung,Elmira Heights Vg PD,2017,12,59,3,0,0,1,2,56,3,51,2,Non-New York City
Chemung,Elmira Town PD,2017,12,2,1,0,1,0,0,1,0,0,1,Non-New York City
Chemung,Horseheads Vg PD,2017,12,43,0,0,0,0,0,43,5,38,0,Non-New York City
Chenango,Afton Vg PD,2017,12,2,0,0,0,0,0,2,1,0,1,Non-New York City
Chenango,Bainbridge Vg PD,2017,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Chenango,Chenango County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Chenango,Chenango County Sheriff,2017,7,175,7,2,2,1,2,168,38,128,2,Non-New York City
Chenango,Chenango County State Police,2017,12,182,39,1,26,1,11,143,41,99,3,Non-New York City
Chenango,County Total,2017,,621,73,3,43,2,25,548,110,430,8,Non-New York City
Chenango,Greene Vg PD,2017,12,13,0,0,0,0,0,13,4,7,2,Non-New York City
Chenango,New Berlin Town PD,2017,12,17,0,0,0,0,0,17,4,13,0,Non-New York City
Chenango,Norwich City PD,2017,12,215,26,0,14,0,12,189,22,167,0,Non-New York City
Chenango,Oxford Vg PD,2017,10,3,0,0,0,0,0,3,0,3,0,Non-New York City
Chenango,Sherburne Vg PD,2017,12,9,1,0,1,0,0,8,0,8,0,Non-New York City
Clinton,Clinton County Park PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Clinton,Clinton County Sheriff,2017,12,33,6,0,0,0,6,27,5,22,0,Non-New York City
Clinton,Clinton County State Police,2017,12,749,96,0,53,5,38,653,122,513,18,Non-New York City
Clinton,County Total,2017,,1214,136,0,66,8,62,1078,171,884,23,Non-New York City
Clinton,Plattsburgh City PD,2017,12,386,31,0,12,2,17,355,42,308,5,Non-New York City
Clinton,Rouses Point Vg PD,2017,5,5,0,0,0,0,0,5,0,5,0,Non-New York City
Clinton,SUNY Police - Plattsburgh,2017,12,40,3,0,1,1,1,37,2,35,0,Non-New York City
Columbia,Chatham Vg PD,2017,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Columbia,Columbia County Park PD,2017,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Columbia,Columbia County Sheriff,2017,12,360,30,0,5,1,24,330,70,252,8,Non-New York City
Columbia,Columbia County State Police,2017,12,222,53,0,28,1,24,169,33,126,10,Non-New York City
Columbia,County Total,2017,,962,134,1,40,11,82,828,137,663,28,Non-New York City
Columbia,Germantown Town PD,2017,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Columbia,Greenport Town PD,2017,12,116,0,0,0,0,0,116,0,116,0,Non-New York City
Columbia,Hudson City PD,2017,12,254,51,1,7,9,34,203,32,161,10,Non-New York City
Columbia,Stockport Town PD,2017,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Cortland,Cortland City PD,2017,12,335,16,0,2,8,6,319,52,260,7,Non-New York City
Cortland,Cortland County Sheriff,2017,12,425,18,0,13,2,3,407,73,332,2,Non-New York City
Cortland,Cortland County State Police,2017,12,176,12,0,10,0,2,164,29,130,5,Non-New York City
Cortland,County Total,2017,,994,49,0,28,10,11,945,165,766,14,Non-New York City
Cortland,Homer Vg PD,2017,12,8,0,0,0,0,0,8,1,7,0,Non-New York City
Cortland,SUNY Police - Cortland,2017,12,50,3,0,3,0,0,47,10,37,0,Non-New York City
Delaware,Colchester Town PD,2017,12,10,0,0,0,0,0,10,4,6,0,Non-New York City
Delaware,County Total,2017,,519,58,0,31,2,25,461,103,346,12,Non-New York City
Delaware,Delaware County Sheriff,2017,12,173,23,0,11,1,11,150,42,101,7,Non-New York City
Delaware,Delaware County State Police,2017,12,155,20,0,14,1,5,135,38,92,5,Non-New York City
Delaware,Delhi Vg PD,2017,12,29,5,0,4,0,1,24,4,20,0,Non-New York City
Delaware,Hancock Vg PD,2017,12,14,0,0,0,0,0,14,3,11,0,Non-New York City
Delaware,Sidney Vg PD,2017,12,101,7,0,0,0,7,94,11,83,0,Non-New York City
Delaware,SUNY Police - Delhi,2017,12,29,2,0,2,0,0,27,1,26,0,Non-New York City
Delaware,Walton Vg PD,2017,3,8,1,0,0,0,1,7,0,7,0,Non-New York City
Dutchess,Beacon City PD,2017,12,284,44,0,5,5,34,240,50,184,6,Non-New York City
Dutchess,County Total,2017,,3444,533,3,99,104,327,2911,350,2494,67,Non-New York City
Dutchess,Dutchess County MTA,2017,12,12,0,0,0,0,0,12,1,10,1,Non-New York City
Dutchess,Dutchess County Park PD,2017,12,8,0,0,0,0,0,8,2,6,0,Non-New York City
Dutchess,Dutchess County Sheriff,2017,5,175,20,0,7,1,12,155,30,123,2,Non-New York City
Dutchess,Dutchess County State Police,2017,12,669,175,0,51,10,114,494,66,414,14,Non-New York City
Dutchess,East Fishkill Town PD,2017,12,162,20,0,2,2,16,142,6,135,1,Non-New York City
